seed,success,time_to_goal_s,path_efficiency,mean_loc_err_m,max_loc_err_m,n_wall_collisions,sim_time_s
43454,True,189.85,1.1973,0.028,0.05,536,189.85
51752,True,142.8,1.1955,0.01,0.035,510,142.8
47809,True,135.4,1.142,0.014,0.027,340,135.4
91072,True,159.95,1.2735,0.023,0.051,662,159.95
87615,True,125.0,1.1854,0.013,0.027,355,125.0
53465,True,96.8,1.1723,0.016,0.03,282,96.8
94753,True,114.15,1.1567,0.012,0.028,363,114.15
49982,True,226.75,1.1688,0.016,0.034,724,226.75
93449,True,143.0,1.1799,0.013,0.029,471,143.0
66587,True,209.45,1.1817,0.03,0.056,659,209.45
86626,True,172.25,1.1433,0.022,0.039,424,172.25
35086,True,242.35,1.1715,0.017,0.042,791,242.35
36211,True,153.6,1.2032,0.023,0.042,462,153.6
32919,True,248.0,1.1641,0.033,0.059,722,248.0
32904,True,132.65,1.252,0.036,0.06,544,132.65
23276,True,133.8,1.2066,0.012,0.028,466,133.8
68189,True,104.65,1.1982,0.022,0.051,365,104.65
41309,True,171.85,1.1847,0.015,0.04,547,171.85
51195,True,95.95,1.2113,0.012,0.03,325,95.95
17831,True,206.85,1.2252,0.027,0.068,761,206.85
63910,True,163.75,1.1702,0.032,0.061,463,163.75
53970,True,208.2,1.1905,0.023,0.044,666,208.2
41594,True,104.4,1.1752,0.027,0.041,316,104.4
75168,True,118.85,1.1843,0.018,0.038,362,118.85
76181,True,117.25,1.192,0.012,0.032,337,117.25
